epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
131,293.205,0.94518,0.75353,1.08325,0.4644,0.57405,0.47075,0.21151,1.82645,1.49042,1.89387,0.0013265,0.0013265,0.0013265
132,295.43,0.93114,0.77359,1.07879,0.51057,0.57891,0.4925,0.21772,1.82605,1.49097,1.90126,0.00132055,0.00132055,0.00132055
133,297.627,0.91728,0.75812,1.08845,0.4893,0.46631,0.43074,0.22054,1.82698,1.45685,1.89936,0.0013146,0.0013146,0.0013146
134,299.831,0.92522,0.76352,1.07012,0.44973,0.48264,0.4305,0.22454,1.82834,1.41241,1.91165,0.00130865,0.00130865,0.00130865
135,302.02,0.93783,0.76292,1.07296,0.48403,0.5094,0.46005,0.23448,1.84008,1.39071,1.93358,0.0013027,0.0013027,0.0013027
136,304.364,0.93719,0.76302,1.07053,0.53014,0.55083,0.4752,0.22929,1.86397,1.45293,1.91573,0.00129675,0.00129675,0.00129675
137,306.579,0.9242,0.77643,1.0811,0.57582,0.54816,0.48854,0.22312,1.88509,1.51595,1.92556,0.0012908,0.0012908,0.0012908
138,308.783,0.91163,0.75881,1.07631,0.55267,0.52689,0.48136,0.22726,1.83261,1.46397,1.88467,0.00128485,0.00128485,0.00128485
139,310.999,0.90852,0.74583,1.05703,0.5571,0.499,0.47191,0.22529,1.8347,1.47544,1.90362,0.0012789,0.0012789,0.0012789
140,313.166,0.89387,0.74163,1.06838,0.65596,0.50664,0.50029,0.22801,1.81966,1.44773,1.89772,0.00127295,0.00127295,0.00127295
141,315.341,0.94787,0.77775,1.0801,0.53077,0.50742,0.44876,0.21659,1.81248,1.51559,1.89947,0.001267,0.001267,0.001267
142,317.514,0.89859,0.73252,1.05426,0.62296,0.44843,0.46208,0.21444,1.85299,1.49862,1.91963,0.00126105,0.00126105,0.00126105
143,319.597,0.87897,0.72382,1.04662,0.51486,0.54052,0.48633,0.22378,1.83801,1.48895,1.90726,0.0012551,0.0012551,0.0012551
144,321.842,0.92137,0.76413,1.0596,0.53062,0.56935,0.47893,0.23012,1.86056,1.42064,1.9334,0.00124915,0.00124915,0.00124915
