epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
122,342.171,1.95017,2.01119,1.98505,0.61715,0.30823,0.26974,0.09601,2.13198,2.2034,2.23619,0.006007,0.006007,0.006007
123,344.742,1.97402,1.99148,1.95438,0.58968,0.30746,0.23859,0.07987,2.14254,2.57924,2.25151,0.005974,0.005974,0.005974
124,347.305,1.91643,2.03857,1.96653,0.61277,0.29611,0.27785,0.10939,2.10303,2.2684,2.21873,0.005941,0.005941,0.005941
125,349.939,1.93674,2.04909,2.00042,0.61718,0.30388,0.25897,0.09444,2.21238,2.30896,2.30638,0.005908,0.005908,0.005908
126,352.536,1.93196,1.95689,1.98146,0.59857,0.31818,0.25317,0.097,2.20326,2.31971,2.28427,0.005875,0.005875,0.005875
127,355.165,1.89912,2.00155,1.96617,0.59807,0.26309,0.21375,0.07273,2.25801,2.38237,2.32588,0.005842,0.005842,0.005842
128,357.724,1.9513,2.03279,1.98555,0.65017,0.28062,0.27474,0.11117,2.169,2.35306,2.24815,0.005809,0.005809,0.005809
129,360.422,1.91691,1.99434,1.96425,0.54743,0.29455,0.21687,0.08437,2.18898,2.51777,2.27557,0.005776,0.005776,0.005776
130,363.021,1.92322,1.98904,1.97365,0.53141,0.3782,0.27746,0.1016,2.11444,2.3629,2.23184,0.005743,0.005743,0.005743
131,365.538,1.86179,1.95787,1.88972,0.54004,0.30769,0.21377,0.07624,2.15124,2.41608,2.24786,0.00571,0.00571,0.00571
132,368.209,1.89739,1.96828,1.93182,0.58804,0.30357,0.24669,0.09659,2.09296,2.33959,2.18669,0.005677,0.005677,0.005677
133,370.727,1.9296,1.99222,1.97495,0.35441,0.28016,0.28358,0.10101,2.1612,2.32714,2.25583,0.005644,0.005644,0.005644
134,373.278,1.92331,1.9373,1.9451,0.61409,0.27863,0.25833,0.08374,2.2157,2.35525,2.3384,0.005611,0.005611,0.005611
135,375.822,1.90751,1.93384,1.93816,0.5898,0.33032,0.26621,0.0987,2.2107,2.18572,2.30016,0.005578,0.005578,0.005578
136,378.392,1.92061,1.91942,1.93868,0.64232,0.30378,0.26305,0.09421,2.21287,2.2872,2.30071,0.005545,0.005545,0.005545
137,380.976,1.94045,1.95371,1.93057,0.43649,0.38519,0.30607,0.11543,2.10703,2.17389,2.21758,0.005512,0.005512,0.005512
138,383.679,1.88396,1.95937,1.93798,0.59878,0.32709,0.3202,0.11759,2.06463,2.35329,2.18012,0.005479,0.005479,0.005479
139,386.496,1.91462,1.93859,1.96327,0.58504,0.31498,0.26256,0.08698,2.19989,2.63921,2.32699,0.005446,0.005446,0.005446
140,389.15,1.90651,1.9299,1.95619,0.65868,0.29902,0.27818,0.10567,2.14396,2.37275,2.24643,0.005413,0.005413,0.005413
141,391.797,1.89265,1.92727,1.93516,0.62275,0.29189,0.25771,0.08737,2.31781,2.33526,2.4,0.00538,0.00538,0.00538
142,394.431,1.91901,1.93517,1.94338,0.61043,0.28591,0.24491,0.08357,2.31511,2.50409,2.41819,0.005347,0.005347,0.005347
143,397.245,1.89758,1.98328,1.9573,0.63159,0.31942,0.27035,0.10083,2.08204,2.37363,2.21499,0.005314,0.005314,0.005314
144,399.942,1.91044,1.97611,1.95841,0.64271,0.33515,0.28745,0.11123,2.08853,2.18693,2.22132,0.005281,0.005281,0.005281
145,402.524,1.90363,1.9306,1.93556,0.60889,0.27349,0.21542,0.07043,2.33078,2.27878,2.43863,0.005248,0.005248,0.005248
146,405.1,1.86285,1.87419,1.89893,0.59779,0.31598,0.25605,0.10576,2.24127,2.3318,2.29925,0.005215,0.005215,0.005215
147,407.66,1.9341,1.91552,1.91644,0.6179,0.3159,0.25894,0.1025,2.25024,2.23468,2.30714,0.005182,0.005182,0.005182
148,410.186,1.90338,1.9397,1.92444,0.69135,0.29711,0.31656,0.12999,2.12158,1.98314,2.20561,0.005149,0.005149,0.005149
149,412.823,1.86883,1.88703,1.90509,0.63376,0.27287,0.27778,0.10534,2.14477,2.22128,2.2573,0.005116,0.005116,0.005116
150,415.389,1.87367,1.91913,1.94074,0.63785,0.26766,0.27402,0.11107,2.14934,2.22375,2.27973,0.005083,0.005083,0.005083
151,418.02,1.85647,1.85973,1.88405,0.67982,0.26422,0.28069,0.1163,2.18049,2.1858,2.28057,0.00505,0.00505,0.00505
152,420.544,1.88291,1.9109,1.92672,0.65213,0.36145,0.33612,0.13274,2.08489,2.23298,2.19367,0.005017,0.005017,0.005017
153,423.173,1.8615,1.82661,1.88786,0.67255,0.3443,0.33212,0.13705,2.1105,2.05027,2.2022,0.004984,0.004984,0.004984
154,425.862,1.91152,1.87621,1.92412,0.59077,0.31107,0.27349,0.11058,2.13645,2.30748,2.20406,0.004951,0.004951,0.004951
155,428.533,1.88229,1.79233,1.85817,0.64434,0.30984,0.29237,0.12676,2.12036,2.12292,2.21133,0.004918,0.004918,0.004918
156,431.084,1.89448,1.82383,1.90239,0.66909,0.30417,0.28979,0.10798,2.27753,2.22793,2.36711,0.004885,0.004885,0.004885
157,433.584,1.87767,1.86446,1.92944,0.65903,0.25347,0.24043,0.08708,2.32435,2.26498,2.44583,0.004852,0.004852,0.004852
158,436.2,1.84215,1.83087,1.89555,0.62532,0.31633,0.28329,0.11217,2.15968,2.04837,2.2435,0.004819,0.004819,0.004819
159,438.819,1.88349,1.86299,1.92805,0.65813,0.29987,0.28124,0.11055,2.16036,2.0085,2.23236,0.004786,0.004786,0.004786
160,441.398,1.8675,1.82912,1.88765,0.31244,0.40897,0.31089,0.12429,2.16872,1.98208,2.22674,0.004753,0.004753,0.004753
161,443.956,1.86601,1.84344,1.93202,0.67131,0.32871,0.30812,0.11268,2.17844,2.08849,2.25349,0.00472,0.00472,0.00472
162,446.535,1.89322,1.87691,1.93697,0.65846,0.31912,0.30253,0.11968,2.14585,2.28426,2.24579,0.004687,0.004687,0.004687
163,449.072,1.89365,1.90284,1.95306,0.68744,0.33362,0.31876,0.12634,2.13123,2.27113,2.23167,0.004654,0.004654,0.004654
164,451.629,1.85925,1.87045,1.93918,0.66306,0.32455,0.34167,0.13899,2.12517,2.26544,2.2073,0.004621,0.004621,0.004621
165,454.275,1.85486,1.86793,1.91064,0.68002,0.29397,0.34582,0.12962,2.17463,2.07301,2.25005,0.004588,0.004588,0.004588
166,456.951,1.8632,1.84341,1.91885,0.69036,0.30552,0.30892,0.11909,2.17917,2.12771,2.25322,0.004555,0.004555,0.004555
167,459.442,1.88371,1.84666,1.9202,0.65027,0.30804,0.30804,0.11186,2.20383,2.03524,2.24611,0.004522,0.004522,0.004522
168,462.097,1.82654,1.76988,1.86199,0.71422,0.33035,0.33732,0.13312,2.10191,2.04693,2.17828,0.004489,0.004489,0.004489
169,464.506,1.87345,1.82325,1.88698,0.36798,0.32002,0.29654,0.10146,2.23311,1.95926,2.2995,0.004456,0.004456,0.004456
170,467.031,1.88953,1.8534,1.91962,0.66459,0.32318,0.29796,0.10746,2.20898,1.99289,2.24806,0.004423,0.004423,0.004423
171,469.717,1.90007,1.80454,1.91999,0.67017,0.35564,0.37794,0.14475,2.06222,2.07093,2.12534,0.00439,0.00439,0.00439
172,472.441,1.85335,1.80706,1.87962,0.29633,0.32403,0.28528,0.10511,2.19705,2.20048,2.2699,0.004357,0.004357,0.004357
173,475.087,1.88417,1.8206,1.91172,0.60746,0.31046,0.28435,0.10017,2.2046,2.39878,2.28192,0.004324,0.004324,0.004324
174,477.884,1.87157,1.82944,1.91419,0.64574,0.32819,0.28744,0.10587,2.25211,2.17882,2.31196,0.004291,0.004291,0.004291
175,480.693,1.8655,1.76164,1.85325,0.62576,0.3646,0.31268,0.1344,2.14221,2.28417,2.20736,0.004258,0.004258,0.004258
176,483.41,1.88649,1.86453,1.91806,0.28169,0.31399,0.28623,0.11758,2.19715,2.20611,2.24217,0.004225,0.004225,0.004225
177,486.186,1.84367,1.82961,1.89754,0.68367,0.3215,0.3368,0.14561,2.09099,2.05692,2.16884,0.004192,0.004192,0.004192
178,488.858,1.85248,1.86261,1.92454,0.69891,0.3432,0.33044,0.13638,2.05499,2.02736,2.17285,0.004159,0.004159,0.004159
179,491.463,1.81546,1.76897,1.85088,0.69056,0.3432,0.34659,0.14179,2.11466,2.0187,2.17548,0.004126,0.004126,0.004126
180,494.105,1.87323,1.83279,1.92329,0.68746,0.31498,0.33774,0.12818,2.15141,2.01472,2.1861,0.004093,0.004093,0.004093
181,496.722,1.84711,1.80259,1.91127,0.688,0.3024,0.31534,0.12085,2.15702,2.03262,2.21283,0.00406,0.00406,0.00406
182,499.416,1.84893,1.78192,1.88269,0.69082,0.32318,0.32344,0.12757,2.14979,1.99314,2.21188,0.004027,0.004027,0.004027
183,502.114,1.82732,1.77225,1.88529,0.69029,0.30049,0.35356,0.12349,2.20102,1.98905,2.27084,0.003994,0.003994,0.003994
184,504.818,1.85995,1.83142,1.92926,0.69426,0.30907,0.33971,0.13437,2.15835,1.96483,2.2387,0.003961,0.003961,0.003961
185,507.446,1.86623,1.82251,1.90635,0.67963,0.30846,0.33616,0.13567,2.09621,2.06882,2.18719,0.003928,0.003928,0.003928
186,510.138,1.83816,1.74337,1.82651,0.62631,0.32771,0.30078,0.12479,2.12276,2.13944,2.19514,0.003895,0.003895,0.003895
187,512.834,1.85079,1.76298,1.86801,0.69189,0.29435,0.30717,0.12858,2.07208,2.05528,2.13976,0.003862,0.003862,0.003862
188,515.615,1.85801,1.77754,1.8792,0.61942,0.31626,0.3047,0.13329,2.08107,2.17495,2.16924,0.003829,0.003829,0.003829
189,518.443,1.83333,1.76215,1.90746,0.67904,0.30025,0.32357,0.12887,2.13234,2.17963,2.20511,0.003796,0.003796,0.003796
190,521.215,1.85105,1.74007,1.87746,0.68278,0.33791,0.33136,0.12151,2.19712,2.10745,2.26089,0.003763,0.003763,0.003763
191,523.979,1.87101,1.76578,1.86726,0.32207,0.37074,0.3316,0.13483,2.13211,2.11366,2.21979,0.00373,0.00373,0.00373
